C,Y,A,None,FairBalance,Reweighing
0,0,1,0.6119145548626774,0.44602184777320775,0.6114722922471364
0,1,1,0.16407943036575118,0.10233956923621246,0.16354871522710185
0,0,0,0.11419220733271417,0.08637388881517845,0.11405952854805183
1,1,1,0.0600150369289284,0.12175489805846712,0.06054575206757773
1,0,1,0.024235991331652735,0.19012869842112246,0.024678253947193845
0,1,0,0.01596568042103401,0.010570076511432488,0.0159214541594799
1,1,0,0.00588209278669674,0.011277696696298262,0.0059263190482508514
1,0,0,0.00371500597054531,0.03153332448808102,0.003847684755207642
