C,Y,A,None,FairBalance,Reweighing
0,0,1,0.31125827814569534,0.2980132450331126,0.2913907284768212
1,1,1,0.2847682119205298,0.2847682119205298,0.2913907284768212
1,1,0,0.18543046357615894,0.18543046357615894,0.18543046357615894
0,0,0,0.0728476821192053,0.07947019867549669,0.07947019867549669
1,0,1,0.0728476821192053,0.08609271523178808,0.09271523178807947
0,1,1,0.046357615894039736,0.046357615894039736,0.039735099337748346
0,1,0,0.013245033112582781,0.013245033112582781,0.013245033112582781
1,0,0,0.013245033112582781,0.006622516556291391,0.006622516556291391
