C,Y,A,None,FairBalance,Reweighing
1,1,1,0.29118773946360155,0.2681992337164751,0.29118773946360155
1,0,1,0.1532567049808429,0.13026819923371646,0.1417624521072797
0,1,1,0.13026819923371646,0.1532567049808429,0.13026819923371646
0,0,1,0.11494252873563218,0.13793103448275862,0.12643678160919541
0,0,0,0.09961685823754789,0.09578544061302682,0.0842911877394636
1,1,0,0.09195402298850575,0.09578544061302682,0.1111111111111111
0,1,0,0.07279693486590039,0.06896551724137931,0.05363984674329502
1,0,0,0.04597701149425287,0.04980842911877394,0.06130268199233716
