C,Y,A,None,FairBalance,Reweighing
0,0,1,0.44562381141922075,0.3362964928574588,0.4471275043120605
0,0,0,0.2799522356375216,0.20467913847242492,0.2801733669452921
0,1,1,0.15611870328601124,0.10437397726770156,0.15828579010216268
1,1,1,0.05621157843527486,0.10795630445358453,0.05404449161912343
0,1,0,0.02724337711733227,0.017248242006103223,0.027420282163548717
1,0,1,0.01711556322144089,0.12644288178320287,0.015611870328601124
1,1,0,0.009950908849674938,0.019946043960903985,0.009774003803458494
1,0,0,0.007783822033523506,0.08305691919862014,0.007562690725752952
